🤖 Starting AI analysis for https://nobina.se
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: failed - 10%
❌ [SSE] AI Analysis failed: cmghbpebk0004r2l9bv24ipsh
🔌 [SSE] Client disconnected: cmghbpebk0004r2l9bv24ipsh
🤖 Starting AI analysis for https://nobina.se
✅ Created AI analysis cmghbz6js0005r2l9ajpx6vaa for https://nobina.se
🤖 Added AI Analysis job 57 for https://nobina.se
🚀 Queued AI analysis job 57 for https://nobina.se
📡 [SSE] Client connecting for AI job: cmghbz6js0005r2l9ajpx6vaa
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
🔌 [SSE] Client disconnected: cmghbz6js0005r2l9ajpx6vaa
📡 [SSE] Client connecting for AI job: cmghbz6js0005r2l9ajpx6vaa
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
🔌 [SSE] Client disconnected: cmghbz6js0005r2l9ajpx6vaa
📡 [SSE] Client connecting for AI job: cmghbz6js0005r2l9ajpx6vaa
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
🔌 [SSE] Client disconnected: cmghbz6js0005r2l9ajpx6vaa
📡 [SSE] Client connecting for AI job: cmghbz6js0005r2l9ajpx6vaa
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: failed - 10%
❌ [SSE] AI Analysis failed: cmghbz6js0005r2l9ajpx6vaa
🔌 [SSE] Client disconnected: cmghbz6js0005r2l9ajpx6vaa
🤖 Starting AI analysis for https://seoanalyze.se/
✅ Created AI analysis cmghfvj3b0006r2l92t906g8h for https://seoanalyze.se/
🤖 Added AI Analysis job 58 for https://seoanalyze.se/
🚀 Queued AI analysis job 58 for https://seoanalyze.se/
📡 [SSE] Client connecting for AI job: cmghfvj3b0006r2l92t906g8h
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
🔌 [SSE] Client disconnected: cmghfvj3b0006r2l92t906g8h
📡 [SSE] Client connecting for AI job: cmghfvj3b0006r2l92t906g8h
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmghfvj3b0006r2l92t906g8h
🔌 [SSE] Client disconnected: cmghfvj3b0006r2l92t906g8h
🤖 Starting AI analysis for https://seoanalyze.se
✅ Created AI analysis cmghg192w0007r2l9byb013g3 for https://seoanalyze.se
🤖 Added AI Analysis job 59 for https://seoanalyze.se
🚀 Queued AI analysis job 59 for https://seoanalyze.se

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1226ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
📡 [SSE] Client connecting for AI job: cmghg192w0007r2l9byb013g3
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmghg192w0007r2l9byb013g3
🔌 [SSE] Client disconnected: cmghg192w0007r2l9byb013g3
✅ Share service initialized
📡 [SSE] Client connecting for AI job: cmghg192w0007r2l9byb013g3
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmghg192w0007r2l9byb013g3
🔌 [SSE] Client disconnected: cmghg192w0007r2l9byb013g3
🔍 Starting SEO analysis for https://seoanalyze.se/ (client: 89f0f769-d6b3-4279-bbac-34ce5f48c276)
📝 Created analysis 01K710CZ09RWES4VAD8H7ZH7ZA for https://seoanalyze.se/
Added SEO job 5283 for https://seoanalyze.se/
🔍 Starting with unknown type, will resolve via job-meta
🔍 AnalysisPageClient using type: unknown for jobId: 5283
📡 Resolved queue: analysis -> seo for job 5283
📡 SSE for job 5283 using queue: seo, client: xs0w1z52ih
🔌 SSE cleanup for job 5283, client xs0w1z52ih
🔍 AnalysisPageClient using type: seo for jobId: 01K710CZ09RWES4VAD8H7ZH7ZA
🔌 SSE cleanup for job 5283, client xs0w1z52ih
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔌 SSE cleanup for job null, client ai68p7ebw19
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔌 SSE cleanup for job null, client ai68p7ebw19
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔌 SSE cleanup for job null, client ai68p7ebw19
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔌 SSE cleanup for job null, client ai68p7ebw19
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔌 SSE cleanup for job null, client ai68p7ebw19

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1263ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
Generating PDF for analysis cmghg192w0007r2l9byb013g3 (ai-analysis)
Creating new browser instance...
Browser instance created
Browser acquired from pool (1 in pool, 0 available)
✅ PDF generated for analysis cmghg192w0007r2l9byb013g3 (54541 bytes)
Browser operation completed in 2401ms
Browser released to pool
🖨️ Generated AI Analysis PDF for cmghg192w0007r2l9byb013g3
[SAVE] Saved artifact locally: analyses/2025-10-08/cmghg192w0007r2l9byb013g3/ai-report.pdf
💾 Stored AI Analysis PDF for cmghg192w0007r2l9byb013g3
✅ Share service initialized
prisma:error 
Invalid `prisma.share.create()` invocation:

{
  data: {
    aiAnalysisId: "cmghg192w0007r2l9byb013g3",
    shareId: "01k710s5kacc0vnddc459mprcw",
    isEnabled: true,
    expiresAt: new Date("2026-01-06T04:20:28.910Z"),
    views: 0,
+   analysis: {
+     create: AnalysisCreateWithoutSharesInput | AnalysisUncheckedCreateWithoutSharesInput,
+     connectOrCreate: AnalysisCreateOrConnectWithoutSharesInput,
+     connect: AnalysisWhereUniqueInput
+   }
  }
}

Argument `analysis` is missing.
prisma:error 
Invalid `prisma.share.create()` invocation:

{
  data: {
    aiAnalysisId: "cmghg192w0007r2l9byb013g3",
    shareId: "01k710schfy349w4yb492w3f0e",
    isEnabled: true,
    expiresAt: new Date("2026-01-06T04:20:36.015Z"),
    views: 0,
+   analysis: {
+     create: AnalysisCreateWithoutSharesInput | AnalysisUncheckedCreateWithoutSharesInput,
+     connectOrCreate: AnalysisCreateOrConnectWithoutSharesInput,
+     connect: AnalysisWhereUniqueInput
+   }
  }
}

Argument `analysis` is missing.
Destroying browser instance...
Browser instance destroyed
prisma:error 
Invalid `prisma.share.create()` invocation:

{
  data: {
    aiAnalysisId: "cmghg192w0007r2l9byb013g3",
    shareId: "01k710sy1qjfepz0wn3hk14p7g",
    isEnabled: true,
    expiresAt: new Date("2026-01-06T04:20:53.944Z"),
    views: 0,
+   analysis: {
+     create: AnalysisCreateWithoutSharesInput | AnalysisUncheckedCreateWithoutSharesInput,
+     connectOrCreate: AnalysisCreateOrConnectWithoutSharesInput,
+     connect: AnalysisWhereUniqueInput
+   }
  }
}

Argument `analysis` is missing.
prisma:error 
Invalid `prisma.share.create()` invocation:

{
  data: {
    aiAnalysisId: "cmghg192w0007r2l9byb013g3",
    shareId: "01k710t5h8jdbz4x6ptwtth336",
    isEnabled: true,
    expiresAt: new Date("2026-01-06T04:21:01.608Z"),
    views: 0,
+   analysis: {
+     create: AnalysisCreateWithoutSharesInput | AnalysisUncheckedCreateWithoutSharesInput,
+     connectOrCreate: AnalysisCreateOrConnectWithoutSharesInput,
+     connect: AnalysisWhereUniqueInput
+   }
  }
}

Argument `analysis` is missing.

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1289ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
✅ Share service initialized
🔗 Created share 01k710wpmxr14xk54stgbr3wr8 for AI analysis cmghg192w0007r2l9byb013g3
🤖 Starting AI analysis for https://webhallen.se
✅ Created AI analysis cmghhhght0002r2rv5phfgucw for https://webhallen.se
🤖 Added AI Analysis job 60 for https://webhallen.se
🚀 Queued AI analysis job 60 for https://webhallen.se
🤖 Starting AI analysis for https://webhallen.se
✅ Created AI analysis cmghhhmo90003r2rvz8n90llz for https://webhallen.se
🤖 Added AI Analysis job 61 for https://webhallen.se
🚀 Queued AI analysis job 61 for https://webhallen.se
📡 SSE for job null using queue: seo, client: ai68p7ebw19
🔌 SSE cleanup for job null, client ai68p7ebw19
Generating PDF for analysis cmghhhmo90003r2rvz8n90llz (ai-analysis)
Creating new browser instance...
Browser instance created
Browser acquired from pool (1 in pool, 0 available)
✅ PDF generated for analysis cmghhhmo90003r2rvz8n90llz (55256 bytes)
Browser operation completed in 2263ms
Browser released to pool
🖨️ Generated AI Analysis PDF for cmghhhmo90003r2rvz8n90llz
[SAVE] Saved artifact locally: analyses/2025-10-08/cmghhhmo90003r2rvz8n90llz/ai-report.pdf
💾 Stored AI Analysis PDF for cmghhhmo90003r2rvz8n90llz
🔗 Created share 01k711ahnaen2c2bczyydras1t for AI analysis cmghhhmo90003r2rvz8n90llz
Destroying browser instance...
Browser instance destroyed
👁️ Share 01k711ahnaen2c2bczyydras1t viewed (total: 1)
👁️ Share 01k711ahnaen2c2bczyydras1t viewed (total: 2)

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1321ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
✅ Share service initialized
👁️ Share 01k711ahnaen2c2bczyydras1t viewed (total: 3)
📡 SSE for job null using queue: seo, client: ai68p7ebw19

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1307ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
✅ Share service initialized
👁️ Share 01k711ahnaen2c2bczyydras1t viewed (total: 4)

> seo-analyzer-nextjs@0.1.0 start
> next start

   ▲ Next.js 15.5.2
   - Local:        http://localhost:5001
   - Network:      http://128.199.44.138:5001

 ✓ Starting...
 ✓ Ready in 1262ms
✅ Using Prisma singleton for database connection
[STORAGE] Local artifact storage initialized at /home/reda/seo-analyzer-nextjs/artifacts
✅ Connected to Redis
📡 [SSE] Client connecting for AI job: cmghhhmo90003r2rvz8n90llz
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmghhhmo90003r2rvz8n90llz
🔌 [SSE] Client disconnected: cmghhhmo90003r2rvz8n90llz
🤖 Starting AI analysis for https://luckywork.com
✅ Created AI analysis cmghi8b870000r2jcuadu8ryw for https://luckywork.com
🤖 Added AI Analysis job 62 for https://luckywork.com
🚀 Queued AI analysis job 62 for https://luckywork.com
📡 [SSE] Client connecting for AI job: cmghi8b870000r2jcuadu8ryw
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: analyzing - 85%
📈 [SSE] AI Progress: completed - 100%
✅ [SSE] AI Analysis completed: cmghi8b870000r2jcuadu8ryw
🔌 [SSE] Client disconnected: cmghi8b870000r2jcuadu8ryw
🤖 Starting AI analysis for https://Stackr.se
✅ Created AI analysis cmghit7ck0001r2jciglhkktx for https://Stackr.se
🤖 Added AI Analysis job 63 for https://Stackr.se
🚀 Queued AI analysis job 63 for https://Stackr.se
📡 [SSE] Client connecting for AI job: cmghit7ck0001r2jciglhkktx
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
🔌 [SSE] Client disconnected: cmghit7ck0001r2jciglhkktx
📡 [SSE] Client connecting for AI job: cmghit7ck0001r2jciglhkktx
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
🔌 [SSE] Client disconnected: cmghit7ck0001r2jciglhkktx
📡 [SSE] Client connecting for AI job: cmghit7ck0001r2jciglhkktx
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
